城市,新增确诊,新增治愈,新增死亡,累计治愈,累计死亡
铁岭,0,0,0,8,0
朝阳市,0,0,0,5,1
葫芦岛,0,0,0,11,1
呼和浩特,0,0,0,7,0
包头,0,0,0,11,0
乌海,0,0,0,2,0
赤峰,0,0,0,9,0
通辽,0,0,0,7,0
鄂尔多斯,0,0,0,11,0
呼伦贝尔,0,0,0,38,0
巴彦淖尔,0,0,0,7,1
乌兰察布,0,0,0,3,0
兴安盟,0,0,0,1,0
锡林郭勒盟,0,0,0,9,0
阿拉善盟,0,0,0,0,0
银川,0,0,0,38,0
石嘴山,0,0,0,1,0
吴忠,0,0,0,28,0
固原,0,0,0,5,0
中卫,0,0,0,4,0
西宁,0,0,0,15,0
海东市,0,0,0,0,0
海北州,0,0,0,3,0
黄南藏族自治州,0,0,0,0,0
海南藏族自治州,0,0,0,0,0
果洛藏族自治州,0,0,0,0,0
玉树藏族自治州,0,0,0,0,0
海西蒙古族藏族自治州,0,0,0,0,0
济南,0,0,0,47,0
青岛,0,0,0,79,1
淄博,0,0,0,29,1
枣庄,0,0,0,24,0
东营,0,0,0,0,0
烟台,0,0,0,58,0
潍坊,0,0,0,44,0
济宁,0,0,0,260,0
泰安,0,0,0,33,2
威海,0,0,0,37,1
日照,0,0,0,16,0
莱芜,0,0,0,0,0
临沂,0,0,0,49,0
德州,0,0,0,35,2
聊城,0,0,0,38,0
滨州,0,0,0,15,0
菏泽,0,0,0,18,0
太原,0,0,0,21,0
大同,0,0,0,12,0
阳泉,0,0,0,4,0
长治,0,0,0,8,0
晋城,0,0,0,10,0
朔州,0,0,0,8,0
晋中,0,0,0,41,0
运城,0,0,0,19,0
忻州,0,0,0,7,0
临汾,0,0,0,2,0
吕梁,0,0,0,6,0
西安,0,0,0,118,3
铜川,0,0,0,8,0
宝鸡,0,0,0,13,0
咸阳,0,0,0,17,0
渭南,0,0,0,17,0
延安,0,0,0,8,0
汉中,0,0,0,26,0
榆林,0,0,0,3,0
安康,0,0,0,26,0
商洛,0,0,0,7,0
成都,0,1,0,791,3
自贡,0,0,0,9,0
攀枝花,0,0,0,16,0
泸州,0,0,0,25,0
德阳,0,0,0,18,0
绵阳,0,0,0,23,0
广元,0,0,0,7,0
遂宁,0,0,0,17,0
内江,0,0,0,22,0
乐山,0,0,0,3,0
南充,0,0,0,39,0
眉山,0,0,0,8,0
宜宾,0,0,0,12,0
广安,0,0,0,30,0
达州,0,0,0,42,0
雅安,0,0,0,8,0
巴中,0,0,0,24,0
资阳,0,0,0,4,0
阿坝,0,0,0,1,0
甘孜,0,0,0,78,0
凉山彝族自治州,0,0,0,14,0
乌鲁木齐,0,0,0,845,0
克拉玛依市,0,0,0,0,0
吐鲁番,0,0,0,3,0
哈密市,0,0,0,0,0
昌吉州,0,0,0,5,0
博尔塔拉蒙古自治州,0,0,0,0,0
巴音郭楞蒙古自治州,0,0,0,3,0
阿克苏,0,0,0,1,0
喀什,0,0,0,80,0
和田地区,0,0,0,0,0
伊犁哈萨克自治州,0,0,0,18,0
塔城地区,0,0,0,0,0
阿勒泰地区,0,0,0,0,0
石河子市,0,0,0,3,1
阿拉尔市,0,0,0,0,0
图木舒克市,0,0,0,0,0
五家渠市,0,0,0,2,0
北屯市,0,0,0,0,0
双河市,0,0,0,0,0
拉萨,0,0,0,1,0
昌都市,0,0,0,0,0
山南市,0,0,0,0,0
日喀则市,0,0,0,0,0
那曲地区,0,0,0,0,0
阿里地区,0,0,0,0,0
林芝市,0,0,0,0,0
昆明,0,0,0,53,0
曲靖,0,0,0,13,0
玉溪,0,0,0,13,1
保山市,0,0,0,9,0
昭通市,0,0,0,25,0
丽江市,0,0,0,7,0
临沧,0,0,0,1,0
楚雄州,0,0,0,4,0
红河,0,0,0,9,0
文山州,0,0,0,2,0
西双版纳州,0,0,0,14,1
大理,0,0,0,13,0
德宏州,0,0,0,216,0
怒江傈傈族自治州,0,0,0,0,0
迪庆藏族自治州,0,0,0,0,0
杭州,0,0,0,181,0
宁波,0,0,0,157,0
温州,0,0,0,503,1
嘉兴,0,0,0,46,0
湖州,0,0,0,10,0
绍兴,0,0,0,42,0
金华,0,0,0,55,0
衢州,0,0,0,14,0
舟山,0,0,0,10,0
台州,0,0,0,147,0
丽水,0,0,0,17,0
台湾,9,0,0,13742,841
北京,0,0,0,1103,9
天津,0,0,0,469,3
上海,9,5,0,2495,7
重庆,0,0,0,596,6
香港,2,4,0,11887,213
澳门,0,0,0,63,0
