WTeam,LTeam,WLoc
Dallas Mavericks,Oklahoma City Thunder,H
Phoenix Suns,San Antonio Spurs,V
Utah Jazz,Los Angeles Lakers,V
Minnesota Timberwolves,New York Knicks,V
Detroit Pistons,Golden State Warriors,V
Philadelphia 76ers,Orlando Magic,H
Brooklyn Nets,Washington Wizards,V
Atlanta Hawks,Minnesota Timberwolves,H
Charlotte Hornets,Boston Celtics,V
Portland Trail Blazers,Miami Heat,V
Chicago Bulls,Cleveland Cavaliers,H
Milwaukee Bucks,Memphis Grizzlies,H
Toronto Raptors,Dallas Mavericks,V
Oklahoma City Thunder,San Antonio Spurs,V
Houston Rockets,Utah Jazz,V
Denver Nuggets,Los Angeles Clippers,H
Detroit Pistons,Sacramento Kings,V
Indiana Pacers,Los Angeles Lakers,V
Phoenix Suns,Dallas Mavericks,V
New York Knicks,New Orleans Pelicans,H
Indiana Pacers,Golden State Warriors,V
Oklahoma City Thunder,Charlotte Hornets,V
Los Angeles Lakers,Orlando Magic,V
Los Angeles Clippers,Philadelphia 76ers,V
Atlanta Hawks,Miami Heat,H
Portland Trail Blazers,Boston Celtics,V
Milwaukee Bucks,Chicago Bulls,H
Toronto Raptors,Washington Wizards,V
Brooklyn Nets,San Antonio Spurs,V
Memphis Grizzlies,Denver Nuggets,V
Utah Jazz,Detroit Pistons,H
Golden State Warriors,Houston Rockets,H
Milwaukee Bucks,Sacramento Kings,H
Cleveland Cavaliers,Oklahoma City Thunder,H
Phoenix Suns,Indiana Pacers,H
New York Knicks,Los Angeles Clippers,H
Washington Wizards,Boston Celtics,H
Miami Heat,Los Angeles Lakers,H
Chicago Bulls,Orlando Magic,V
Portland Trail Blazers,Toronto Raptors,V
Charlotte Hornets,Atlanta Hawks,H
Philadelphia 76ers,San Antonio Spurs,V
Memphis Grizzlies,Dallas Mavericks,V
Denver Nuggets,Detroit Pistons,H
Minnesota Timberwolves,Brooklyn Nets,H
Golden State Warriors,Utah Jazz,H
Cleveland Cavaliers,New York Knicks,H
New Orleans Pelicans,Indiana Pacers,H
Chicago Bulls,Oklahoma City Thunder,V
Phoenix Suns,Utah Jazz,H
Denver Nuggets,Detroit Pistons,V
Philadelphia 76ers,New Orleans Pelicans,H
Toronto Raptors,Charlotte Hornets,H
Los Angeles Clippers,Washington Wizards,V
Sacramento Kings,Boston Celtics,V
Brooklyn Nets,Los Angeles Lakers,H
San Antonio Spurs,Houston Rockets,V
Dallas Mavericks,Golden State Warriors,V
Minnesota Timberwolves,Portland Trail Blazers,V
Milwaukee Bucks,Cleveland Cavaliers,V
Charlotte Hornets,Indiana Pacers,V
Los Angeles Clippers,Orlando Magic,V
Atlanta Hawks,Sacramento Kings,H
New York Knicks,Miami Heat,V
Denver Nuggets,Brooklyn Nets,V
Chicago Bulls,Toronto Raptors,H
Memphis Grizzlies,San Antonio Spurs,V
Dallas Mavericks,Portland Trail Blazers,V
Utah Jazz,Phoenix Suns,H
Los Angeles Lakers,Philadelphia 76ers,V
Golden State Warriors,Minnesota Timberwolves,H
Orlando Magic,Detroit Pistons,H
Boston Celtics,Atlanta Hawks,V
Charlotte Hornets,Los Angeles Lakers,H
Portland Trail Blazers,Houston Rockets,V
Memphis Grizzlies,Utah Jazz,H
Miami Heat,Los Angeles Clippers,H
Denver Nuggets,New Orleans Pelicans,V
Indiana Pacers,Oklahoma City Thunder,V
San Antonio Spurs,Chicago Bulls,H
Phoenix Suns,Minnesota Timberwolves,H
Milwaukee Bucks,New York Knicks,H
Dallas Mavericks,Indiana Pacers,H
New Orleans Pelicans,Boston Celtics,H
Philadelphia 76ers,Sacramento Kings,H
Washington Wizards,Memphis Grizzlies,V
Toronto Raptors,Miami Heat,V
Golden State Warriors,Brooklyn Nets,H
Atlanta Hawks,Los Angeles Lakers,H
Charlotte Hornets,Los Angeles Clippers,H
Chicago Bulls,Portland Trail Blazers,H
Detroit Pistons,Cleveland Cavaliers,H
Denver Nuggets,Milwaukee Bucks,V
Orlando Magic,Dallas Mavericks,H
Minnesota Timberwolves,Utah Jazz,H
Phoenix Suns,San Antonio Spurs,H
Cleveland Cavaliers,New Orleans Pelicans,H
Indiana Pacers,Los Angeles Clippers,H
Philadelphia 76ers,Memphis Grizzlies,H
Toronto Raptors,Atlanta Hawks,V
Miami Heat,Boston Celtics,V
Sacramento Kings,New York Knicks,V
Golden State Warriors,Houston Rockets,V
Oklahoma City Thunder,Portland Trail Blazers,H
New Orleans Pelicans,Detroit Pistons,V
Washington Wizards,Milwaukee Bucks,V
Toronto Raptors,Miami Heat,H
Chicago Bulls,Orlando Magic,H
Minnesota Timberwolves,Denver Nuggets,H
Golden State Warriors,San Antonio Spurs,V
Phoenix Suns,Brooklyn Nets,H
Orlando Magic,Indiana Pacers,V
Washington Wizards,Philadelphia 76ers,V
Boston Celtics,Charlotte Hornets,H
Memphis Grizzlies,New York Knicks,V
Houston Rockets,Cleveland Cavaliers,H
Oklahoma City Thunder,Dallas Mavericks,V
Sacramento Kings,Brooklyn Nets,H
Utah Jazz,Denver Nuggets,H
Los Angeles Lakers,Portland Trail Blazers,H
Minnesota Timberwolves,Detroit Pistons,V
San Antonio Spurs,Miami Heat,H
Atlanta Hawks,Phoenix Suns,H
Toronto Raptors,Chicago Bulls,H
Golden State Warriors,Sacramento Kings,H
Los Angeles Clippers,Los Angeles Lakers,H
Cleveland Cavaliers,Charlotte Hornets,V
Detroit Pistons,Boston Celtics,H
Chicago Bulls,Indiana Pacers,V
Toronto Raptors,Atlanta Hawks,H
San Antonio Spurs,Houston Rockets,H
New Orleans Pelicans,Denver Nuggets,V
Utah Jazz,Brooklyn Nets,H
Philadelphia 76ers,Dallas Mavericks,V
Oklahoma City Thunder,Portland Trail Blazers,V
Memphis Grizzlies,Orlando Magic,V
Charlotte Hornets,Miami Heat,H
Phoenix Suns,Washington Wizards,V
Los Angeles Lakers,New York Knicks,H
Milwaukee Bucks,Portland Trail Blazers,V
Sacramento Kings,Oklahoma City Thunder,H
Philadelphia 76ers,Chicago Bulls,V
Denver Nuggets,Brooklyn Nets,H
Minnesota Timberwolves,Detroit Pistons,H
Cleveland Cavaliers,Indiana Pacers,H
Atlanta Hawks,Dallas Mavericks,V
Orlando Magic,Boston Celtics,H
New Orleans Pelicans,Houston Rockets,V
Milwaukee Bucks,Los Angeles Clippers,V
Toronto Raptors,Charlotte Hornets,V
Miami Heat,Washington Wizards,V
Phoenix Suns,Chicago Bulls,V
Oklahoma City Thunder,Golden State Warriors,H
Utah Jazz,New York Knicks,H
Phoenix Suns,Philadelphia 76ers,V
Atlanta Hawks,Indiana Pacers,H
Brooklyn Nets,Boston Celtics,H
Memphis Grizzlies,Los Angeles Clippers,H
Houston Rockets,New Orleans Pelicans,V
Detroit Pistons,Dallas Mavericks,V
Denver Nuggets,New York Knicks,H
Milwaukee Bucks,Los Angeles Lakers,V
Portland Trail Blazers,Orlando Magic,H
Minnesota Timberwolves,Sacramento Kings,V
San Antonio Spurs,Cleveland Cavaliers,V
Chicago Bulls,Charlotte Hornets,V
Oklahoma City Thunder,Toronto Raptors,H
Portland Trail Blazers,Los Angeles Lakers,H
Sacramento Kings,Minnesota Timberwolves,H
Golden State Warriors,Utah Jazz,V
Memphis Grizzlies,Detroit Pistons,V
New Orleans Pelicans,Miami Heat,H
Washington Wizards,Brooklyn Nets,H
Toronto Raptors,Houston Rockets,V
Dallas Mavericks,Los Angeles Clippers,H
New York Knicks,Golden State Warriors,V
Phoenix Suns,Milwaukee Bucks,H
Charlotte Hornets,Detroit Pistons,V
Cleveland Cavaliers,Indiana Pacers,V
Oklahoma City Thunder,Philadelphia 76ers,V
San Antonio Spurs,Atlanta Hawks,V
Boston Celtics,Denver Nuggets,H
Chicago Bulls,Minnesota Timberwolves,H
Orlando Magic,Utah Jazz,V
Portland Trail Blazers,New York Knicks,H
Memphis Grizzlies,Charlotte Hornets,V
San Antonio Spurs,New Orleans Pelicans,V
Sacramento Kings,Washington Wizards,V
Cleveland Cavaliers,Philadelphia 76ers,V
Denver Nuggets,Toronto Raptors,V
Chicago Bulls,Oklahoma City Thunder,H
Miami Heat,Brooklyn Nets,H
Los Angeles Clippers,Dallas Mavericks,V
Golden State Warriors,Los Angeles Lakers,H
Phoenix Suns,Orlando Magic,H
Atlanta Hawks,Boston Celtics,V
Minnesota Timberwolves,Indiana Pacers,V
Detroit Pistons,Washington Wizards,V
Sacramento Kings,Brooklyn Nets,V
Oklahoma City Thunder,New York Knicks,V
Chicago Bulls,San Antonio Spurs,H
Portland Trail Blazers,Milwaukee Bucks,V
Toronto Raptors,New Orleans Pelicans,V
Denver Nuggets,Orlando Magic,H
Utah Jazz,Houston Rockets,H
Los Angeles Clippers,Golden State Warriors,H
Atlanta Hawks,Cleveland Cavaliers,H
Miami Heat,Dallas Mavericks,H
Philadelphia 76ers,Boston Celtics,H
Milwaukee Bucks,Indiana Pacers,H
Minnesota Timberwolves,Charlotte Hornets,H
Memphis Grizzlies,New Orleans Pelicans,V
Los Angeles Clippers,Phoenix Suns,V
Atlanta Hawks,Orlando Magic,V
Detroit Pistons,Boston Celtics,V
Indiana Pacers,Washington Wizards,H
Brooklyn Nets,New York Knicks,V
Chicago Bulls,Sacramento Kings,H
Portland Trail Blazers,Memphis Grizzlies,V
Minnesota Timberwolves,Toronto Raptors,H
San Antonio Spurs,Oklahoma City Thunder,V
Phoenix Suns,Houston Rockets,H
Denver Nuggets,Golden State Warriors,V
Los Angeles Lakers,Utah Jazz,H
Miami Heat,Charlotte Hornets,V
Washington Wizards,Brooklyn Nets,V
Dallas Mavericks,New Orleans Pelicans,V
Philadelphia 76ers,Milwaukee Bucks,V
Los Angeles Clippers,Houston Rockets,H
Detroit Pistons,Cleveland Cavaliers,H
Boston Celtics,Brooklyn Nets,V
Chicago Bulls,Atlanta Hawks,H
Minnesota Timberwolves,Memphis Grizzlies,H
Phoenix Suns,Oklahoma City Thunder,V
Portland Trail Blazers,Golden State Warriors,H
Denver Nuggets,Sacramento Kings,V
Toronto Raptors,Charlotte Hornets,V
Oklahoma City Thunder,Indiana Pacers,V
Orlando Magic,Houston Rockets,H
San Antonio Spurs,Washington Wizards,V
Miami Heat,New York Knicks,V
Philadelphia 76ers,Minnesota Timberwolves,V
New Orleans Pelicans,Phoenix Suns,V
Utah Jazz,Dallas Mavericks,H
Los Angeles Clippers,Los Angeles Lakers,V
Boston Celtics,Detroit Pistons,V
Atlanta Hawks,Toronto Raptors,H
Memphis Grizzlies,Chicago Bulls,V
Cleveland Cavaliers,Washington Wizards,H
Miami Heat,San Antonio Spurs,H
Brooklyn Nets,Milwaukee Bucks,V
Denver Nuggets,Sacramento Kings,H
Philadelphia 76ers,New York Knicks,V
Utah Jazz,Phoenix Suns,V
Indiana Pacers,Boston Celtics,H
Detroit Pistons,Charlotte Hornets,V
Los Angeles Clippers,Houston Rockets,V
Dallas Mavericks,Golden State Warriors,V
Portland Trail Blazers,Denver Nuggets,H
Los Angeles Lakers,New Orleans Pelicans,H
Minnesota Timberwolves,Cleveland Cavaliers,V
Orlando Magic,Indiana Pacers,H
Brooklyn Nets,Toronto Raptors,H
Chicago Bulls,Miami Heat,V
Memphis Grizzlies,San Antonio Spurs,H
Milwaukee Bucks,Charlotte Hornets,H
Sacramento Kings,Oklahoma City Thunder,V
Washington Wizards,Detroit Pistons,H
Atlanta Hawks,Boston Celtics,V
Toronto Raptors,Brooklyn Nets,H
Los Angeles Clippers,Houston Rockets,V
Minnesota Timberwolves,Golden State Warriors,H
Dallas Mavericks,Los Angeles Lakers,V
Cleveland Cavaliers,Charlotte Hornets,H
Indiana Pacers,Orlando Magic,V
Philadelphia 76ers,New York Knicks,H
Utah Jazz,Houston Rockets,V
Milwaukee Bucks,Miami Heat,H
Sacramento Kings,New Orleans Pelicans,V
Oklahoma City Thunder,Denver Nuggets,V
Portland Trail Blazers,Phoenix Suns,V
Atlanta Hawks,Chicago Bulls,H
Boston Celtics,Memphis Grizzlies,H
Miami Heat,Brooklyn Nets,V
Detroit Pistons,Toronto Raptors,V
Dallas Mavericks,Golden State Warriors,H
Sacramento Kings,San Antonio Spurs,V
Los Angeles Clippers,Los Angeles Lakers,H
Detroit Pistons,Indiana Pacers,H
Philadelphia 76ers,Cleveland Cavaliers,H
Atlanta Hawks,Washington Wizards,V
Milwaukee Bucks,Chicago Bulls,V
Toronto Raptors,Orlando Magic,H
Utah Jazz,New Orleans Pelicans,V
Minnesota Timberwolves,Oklahoma City Thunder,V
Denver Nuggets,Houston Rockets,H
Phoenix Suns,New York Knicks,H
Dallas Mavericks,Sacramento Kings,H
Charlotte Hornets,San Antonio Spurs,H
Orlando Magic,Memphis Grizzlies,V
Miami Heat,Philadelphia 76ers,H
Minnesota Timberwolves,Portland Trail Blazers,H
Los Angeles Lakers,Golden State Warriors,H
Boston Celtics,Brooklyn Nets,H
Milwaukee Bucks,Phoenix Suns,H
Washington Wizards,Indiana Pacers,H
Houston Rockets,Memphis Grizzlies,H
Utah Jazz,Oklahoma City Thunder,V
Toronto Raptors,Cleveland Cavaliers,V
Denver Nuggets,New Orleans Pelicans,H
Los Angeles Clippers,New York Knicks,H
Detroit Pistons,Atlanta Hawks,H
Philadelphia 76ers,Chicago Bulls,H
Miami Heat,Houston Rockets,H
Portland Trail Blazers,Minnesota Timberwolves,V
Dallas Mavericks,Utah Jazz,H
San Antonio Spurs,Los Angeles Lakers,H
Denver Nuggets,Golden State Warriors,H
New York Knicks,Sacramento Kings,V
Brooklyn Nets,Charlotte Hornets,V
Cleveland Cavaliers,Indiana Pacers,V
Orlando Magic,Phoenix Suns,H
Memphis Grizzlies,New Orleans Pelicans,H
Milwaukee Bucks,Oklahoma City Thunder,V
Los Angeles Clippers,Golden State Warriors,V
Boston Celtics,Charlotte Hornets,V
Chicago Bulls,Detroit Pistons,V
Miami Heat,Phoenix Suns,H
Houston Rockets,Los Angeles Lakers,H
Milwaukee Bucks,Atlanta Hawks,H
Minnesota Timberwolves,Oklahoma City Thunder,H
Orlando Magic,New Orleans Pelicans,V
Dallas Mavericks,New York Knicks,H
Toronto Raptors,San Antonio Spurs,V
Denver Nuggets,Sacramento Kings,V
Portland Trail Blazers,Utah Jazz,V
Los Angeles Clippers,Washington Wizards,H
Brooklyn Nets,Philadelphia 76ers,V
Golden State Warriors,Denver Nuggets,V
Orlando Magic,Minnesota Timberwolves,H
Atlanta Hawks,Los Angeles Clippers,H
Boston Celtics,Detroit Pistons,H
Dallas Mavericks,Houston Rockets,V
Memphis Grizzlies,New York Knicks,H
Miami Heat,Cleveland Cavaliers,H
Charlotte Hornets,New Orleans Pelicans,V
San Antonio Spurs,Utah Jazz,H
Toronto Raptors,Phoenix Suns,V
Los Angeles Lakers,Washington Wizards,H
Cleveland Cavaliers,Chicago Bulls,V
Minnesota Timberwolves,Miami Heat,V
Indiana Pacers,San Antonio Spurs,V
Golden State Warriors,Milwaukee Bucks,H
Toronto Raptors,Denver Nuggets,V
Utah Jazz,Sacramento Kings,H
Portland Trail Blazers,Washington Wizards,H
Brooklyn Nets,New York Knicks,H
Los Angeles Clippers,Detroit Pistons,V
Dallas Mavericks,Boston Celtics,V
Philadelphia 76ers,Orlando Magic,V
Atlanta Hawks,Indiana Pacers,H
New Orleans Pelicans,Houston Rockets,H
Memphis Grizzlies,Oklahoma City Thunder,V
Phoenix Suns,Los Angeles Lakers,H
Cleveland Cavaliers,Los Angeles Clippers,H
Atlanta Hawks,Portland Trail Blazers,H
Denver Nuggets,Philadelphia 76ers,V
Charlotte Hornets,Oklahoma City Thunder,V
Minnesota Timberwolves,San Antonio Spurs,V
Golden State Warriors,Washington Wizards,H
Sacramento Kings,Chicago Bulls,H
Milwaukee Bucks,Utah Jazz,V
Toronto Raptors,Los Angeles Lakers,V
Memphis Grizzlies,Indiana Pacers,V
Brooklyn Nets,Orlando Magic,V
Detroit Pistons,Miami Heat,V
Phoenix Suns,New Orleans Pelicans,V
Charlotte Hornets,Atlanta Hawks,H
Philadelphia 76ers,Cleveland Cavaliers,V
Denver Nuggets,Washington Wizards,V
Dallas Mavericks,Brooklyn Nets,V
Portland Trail Blazers,New York Knicks,V
Phoenix Suns,Houston Rockets,V
Minnesota Timberwolves,Los Angeles Lakers,H
San Antonio Spurs,Oklahoma City Thunder,H
Utah Jazz,Chicago Bulls,H
Golden State Warriors,Boston Celtics,H
Milwaukee Bucks,Sacramento Kings,V
Toronto Raptors,Los Angeles Clippers,V
Detroit Pistons,Orlando Magic,V
Philadelphia 76ers,Dallas Mavericks,H
Atlanta Hawks,Memphis Grizzlies,H
Brooklyn Nets,Portland Trail Blazers,H
Cleveland Cavaliers,Denver Nuggets,H
Washington Wizards,New York Knicks,V
Los Angeles Lakers,Toronto Raptors,V
Indiana Pacers,Houston Rockets,V
Miami Heat,Oklahoma City Thunder,H
San Antonio Spurs,New Orleans Pelicans,H
Los Angeles Clippers,Utah Jazz,V
Phoenix Suns,Chicago Bulls,H
Sacramento Kings,Boston Celtics,H
Minnesota Timberwolves,Milwaukee Bucks,H
Charlotte Hornets,Dallas Mavericks,H
Cleveland Cavaliers,Detroit Pistons,H
Washington Wizards,Los Angeles Lakers,H
Houston Rockets,Memphis Grizzlies,H
Portland Trail Blazers,Indiana Pacers,V
New Orleans Pelicans,Atlanta Hawks,V
Orlando Magic,Oklahoma City Thunder,H
Phoenix Suns,Sacramento Kings,V
New York Knicks,Utah Jazz,H
Boston Celtics,Denver Nuggets,V
San Antonio Spurs,Golden State Warriors,V
Toronto Raptors,Philadelphia 76ers,V
Charlotte Hornets,New Orleans Pelicans,H
Los Angeles Lakers,Cleveland Cavaliers,V
Portland Trail Blazers,Detroit Pistons,V
Brooklyn Nets,Utah Jazz,H
Philadelphia 76ers,Miami Heat,H
Toronto Raptors,Chicago Bulls,V
Washington Wizards,Houston Rockets,V
Boston Celtics,Oklahoma City Thunder,V
Dallas Mavericks,Minnesota Timberwolves,H
Orlando Magic,Golden State Warriors,H
Atlanta Hawks,New York Knicks,V
Chicago Bulls,Milwaukee Bucks,V
Denver Nuggets,Los Angeles Clippers,H
New York Knicks,Charlotte Hornets,V
Detroit Pistons,Atlanta Hawks,H
Sacramento Kings,Indiana Pacers,V
Utah Jazz,Boston Celtics,V
Memphis Grizzlies,Brooklyn Nets,H
Golden State Warriors,Miami Heat,V
Phoenix Suns,Minnesota Timberwolves,V
Oklahoma City Thunder,Orlando Magic,H
Houston Rockets,Dallas Mavericks,V
Philadelphia 76ers,Los Angeles Lakers,V
Portland Trail Blazers,San Antonio Spurs,H
Toronto Raptors,Cleveland Cavaliers,H
Memphis Grizzlies,Indiana Pacers,H
Milwaukee Bucks,Washington Wizards,H
New Orleans Pelicans,Chicago Bulls,H
Phoenix Suns,Denver Nuggets,V
Charlotte Hornets,Utah Jazz,H
Detroit Pistons,Washington Wizards,H
Atlanta Hawks,Golden State Warriors,H
New York Knicks,Miami Heat,V
Dallas Mavericks,Minnesota Timberwolves,V
Houston Rockets,Portland Trail Blazers,V
Los Angeles Clippers,Philadelphia 76ers,H
San Antonio Spurs,New Orleans Pelicans,V
Sacramento Kings,Orlando Magic,V
Indiana Pacers,Toronto Raptors,V
Chicago Bulls,Cleveland Cavaliers,V
Memphis Grizzlies,Milwaukee Bucks,H
Miami Heat,Brooklyn Nets,H
Denver Nuggets,Oklahoma City Thunder,H
Portland Trail Blazers,Houston Rockets,H
New York Knicks,Detroit Pistons,V
Boston Celtics,Minnesota Timberwolves,H
Phoenix Suns,Philadelphia 76ers,H
Washington Wizards,Golden State Warriors,H
New Orleans Pelicans,Los Angeles Lakers,H
Charlotte Hornets,Brooklyn Nets,V
Dallas Mavericks,Utah Jazz,H
Denver Nuggets,Charlotte Hornets,V
Cleveland Cavaliers,Orlando Magic,H
Atlanta Hawks,Indiana Pacers,V
Miami Heat,Sacramento Kings,H
New York Knicks,Chicago Bulls,H
Toronto Raptors,Boston Celtics,H
San Antonio Spurs,Houston Rockets,V
Golden State Warriors,Memphis Grizzlies,V
Oklahoma City Thunder,Portland Trail Blazers,V
Milwaukee Bucks,Philadelphia 76ers,V
Washington Wizards,Chicago Bulls,H
Brooklyn Nets,Detroit Pistons,H
Dallas Mavericks,Los Angeles Lakers,H
Los Angeles Clippers,Utah Jazz,H
Dallas Mavericks,Cleveland Cavaliers,V
Denver Nuggets,Indiana Pacers,V
Washington Wizards,Orlando Magic,H
Boston Celtics,Miami Heat,H
Charlotte Hornets,New York Knicks,V
Toronto Raptors,Minnesota Timberwolves,H
Sacramento Kings,Houston Rockets,V
Atlanta Hawks,Oklahoma City Thunder,V
Memphis Grizzlies,San Antonio Spurs,V
Phoenix Suns,Golden State Warriors,V
New Orleans Pelicans,Portland Trail Blazers,V
Philadelphia 76ers,Detroit Pistons,V
Atlanta Hawks,Cleveland Cavaliers,H
Milwaukee Bucks,Brooklyn Nets,V
Chicago Bulls,Los Angeles Clippers,H
Utah Jazz,Los Angeles Lakers,H
Orlando Magic,Toronto Raptors,H
Washington Wizards,Dallas Mavericks,H
Boston Celtics,Indiana Pacers,H
Sacramento Kings,Houston Rockets,V
Memphis Grizzlies,Phoenix Suns,H
Los Angeles Clippers,Milwaukee Bucks,V
Detroit Pistons,Oklahoma City Thunder,V
San Antonio Spurs,Portland Trail Blazers,H
Minnesota Timberwolves,Denver Nuggets,V
New Orleans Pelicans,Los Angeles Lakers,V
Philadelphia 76ers,Charlotte Hornets,H
Cleveland Cavaliers,New York Knicks,V
Atlanta Hawks,Brooklyn Nets,H
Miami Heat,Chicago Bulls,V
Golden State Warriors,Utah Jazz,H
Boston Celtics,Washington Wizards,H
Dallas Mavericks,Milwaukee Bucks,V
Denver Nuggets,Los Angeles Lakers,V
Detroit Pistons,Indiana Pacers,V
Philadelphia 76ers,Cleveland Cavaliers,V
Orlando Magic,New York Knicks,H
Minnesota Timberwolves,Houston Rockets,V
Phoenix Suns,Oklahoma City Thunder,V
Portland Trail Blazers,San Antonio Spurs,V
Miami Heat,Toronto Raptors,V
Sacramento Kings,Golden State Warriors,H
Los Angeles Clippers,New Orleans Pelicans,H
Philadelphia 76ers,Indiana Pacers,V
Orlando Magic,Cleveland Cavaliers,H
Brooklyn Nets,Houston Rockets,H
Miami Heat,Charlotte Hornets,H
Toronto Raptors,Atlanta Hawks,H
Milwaukee Bucks,Chicago Bulls,V
Washington Wizards,Minnesota Timberwolves,V
Oklahoma City Thunder,Portland Trail Blazers,H
Denver Nuggets,San Antonio Spurs,H
Utah Jazz,Memphis Grizzlies,H
New Orleans Pelicans,Sacramento Kings,V
Phoenix Suns,Los Angeles Lakers,H
Dallas Mavericks,Detroit Pistons,V
New York Knicks,Brooklyn Nets,H
Atlanta Hawks,Washington Wizards,H
Chicago Bulls,Boston Celtics,H
Utah Jazz,Oklahoma City Thunder,H
Los Angeles Clippers,Phoenix Suns,H
Charlotte Hornets,Orlando Magic,H
Milwaukee Bucks,Boston Celtics,H
Toronto Raptors,Philadelphia 76ers,H
Minnesota Timberwolves,San Antonio Spurs,H
Portland Trail Blazers,New Orleans Pelicans,V
Denver Nuggets,Memphis Grizzlies,H
Golden State Warriors,Los Angeles Lakers,H
Milwaukee Bucks,Detroit Pistons,V
Washington Wizards,New York Knicks,H
Brooklyn Nets,Cleveland Cavaliers,H
Toronto Raptors,Houston Rockets,H
Charlotte Hornets,Chicago Bulls,V
Miami Heat,Atlanta Hawks,H
Portland Trail Blazers,Dallas Mavericks,V
Phoenix Suns,Utah Jazz,V
Los Angeles Lakers,Oklahoma City Thunder,H
Philadelphia 76ers,Indiana Pacers,H
Memphis Grizzlies,New Orleans Pelicans,H
San Antonio Spurs,Golden State Warriors,H
Sacramento Kings,Los Angeles Clippers,V
Brooklyn Nets,Indiana Pacers,H
Charlotte Hornets,Washington Wizards,H
Cleveland Cavaliers,Milwaukee Bucks,H
Atlanta Hawks,Houston Rockets,V
Boston Celtics,Memphis Grizzlies,V
Toronto Raptors,New York Knicks,V
Orlando Magic,Miami Heat,H
Philadelphia 76ers,Detroit Pistons,H
Chicago Bulls,Minnesota Timberwolves,V
Dallas Mavericks,San Antonio Spurs,H
Los Angeles Lakers,Denver Nuggets,V
Oklahoma City Thunder,Los Angeles Clippers,V
Golden State Warriors,New Orleans Pelicans,V
Sacramento Kings,Phoenix Suns,V
Portland Trail Blazers,Utah Jazz,H
Brooklyn Nets,Cleveland Cavaliers,H
Minnesota Timberwolves,Los Angeles Clippers,H
Atlanta Hawks,Charlotte Hornets,H
New Orleans Pelicans,San Antonio Spurs,H
Atlanta Hawks,Cleveland Cavaliers,V
New Orleans Pelicans,Los Angeles Clippers,V
Utah Jazz,Dallas Mavericks,V
Minnesota Timberwolves,Memphis Grizzlies,V
Philadelphia 76ers,Toronto Raptors,H
Golden State Warriors,Denver Nuggets,H
Atlanta Hawks,Miami Heat,V
Boston Celtics,Brooklyn Nets,H
Milwaukee Bucks,Chicago Bulls,H
New Orleans Pelicans,Phoenix Suns,V
Toronto Raptors,Philadelphia 76ers,V
Dallas Mavericks,Utah Jazz,H
Golden State Warriors,Denver Nuggets,H
Miami Heat,Atlanta Hawks,H
Minnesota Timberwolves,Memphis Grizzlies,V
New Orleans Pelicans,Phoenix Suns,V
Boston Celtics,Brooklyn Nets,H
Philadelphia 76ers,Toronto Raptors,V
Chicago Bulls,Milwaukee Bucks,V
Minnesota Timberwolves,Memphis Grizzlies,H
Dallas Mavericks,Utah Jazz,V
Golden State Warriors,Denver Nuggets,V
Atlanta Hawks,Miami Heat,H
Chicago Bulls,Milwaukee Bucks,H
Phoenix Suns,New Orleans Pelicans,V
Toronto Raptors,Philadelphia 76ers,H
Dallas Mavericks,Utah Jazz,V
Boston Celtics,Brooklyn Nets,V
Minnesota Timberwolves,Memphis Grizzlies,H
Chicago Bulls,Milwaukee Bucks,H
Denver Nuggets,Golden State Warriors,H
Atlanta Hawks,Miami Heat,H
New Orleans Pelicans,Phoenix Suns,H
Boston Celtics,Brooklyn Nets,V
Philadelphia 76ers,Toronto Raptors,H
Utah Jazz,Dallas Mavericks,V
Miami Heat,Atlanta Hawks,H
Memphis Grizzlies,Minnesota Timberwolves,H
New Orleans Pelicans,Phoenix Suns,V
Milwaukee Bucks,Chicago Bulls,H
Denver Nuggets,Golden State Warriors,V
Toronto Raptors,Philadelphia 76ers,H
Phoenix Suns,New Orleans Pelicans,V
Dallas Mavericks,Utah Jazz,V
Memphis Grizzlies,Minnesota Timberwolves,V
Boston Celtics,Milwaukee Bucks,H
Golden State Warriors,Memphis Grizzlies,V
Philadelphia 76ers,Miami Heat,V
Phoenix Suns,Dallas Mavericks,H
Milwaukee Bucks,Boston Celtics,V
Memphis Grizzlies,Golden State Warriors,H
Miami Heat,Philadelphia 76ers,H
Phoenix Suns,Dallas Mavericks,H
Philadelphia 76ers,Miami Heat,H
Phoenix Suns,Dallas Mavericks,V
Milwaukee Bucks,Boston Celtics,H
Golden State Warriors,Memphis Grizzlies,H
Dallas Mavericks,Phoenix Suns,H
Philadelphia 76ers,Miami Heat,H
Boston Celtics,Milwaukee Bucks,V
Memphis Grizzlies,Golden State Warriors,V
Philadelphia 76ers,Miami Heat,V
Dallas Mavericks,Phoenix Suns,V
Milwaukee Bucks,Boston Celtics,V
Golden State Warriors,Memphis Grizzlies,V
Miami Heat,Philadelphia 76ers,V
Phoenix Suns,Dallas Mavericks,V
Milwaukee Bucks,Boston Celtics,H
Memphis Grizzlies,Golden State Warriors,V
Milwaukee Bucks,Boston Celtics,V
Phoenix Suns,Dallas Mavericks,H
Miami Heat,Boston Celtics,H
Dallas Mavericks,Golden State Warriors,V
Boston Celtics,Miami Heat,V
Golden State Warriors,Dallas Mavericks,H
Miami Heat,Boston Celtics,V
Golden State Warriors,Dallas Mavericks,V
