Vteam,Hteam
Phoenix Suns,Minnesota Timberwolves
Milwaukee Bucks,Oklahoma City Thunder
Memphis Grizzlies,San Antonio Spurs
Los Angeles Lakers,Los Angeles Clippers
Cleveland Cavaliers,Sacramento Kings
Dallas Mavericks,Washington Wizards
Philadelphia 76ers,Atlanta Hawks
Charlotte Hornets,Miami Heat
Portland Trail Blazers,New Orleans Pelicans
Denver Nuggets,Boston Celtics
Phoenix Suns,Orlando Magic
Detroit Pistons,New York Knicks
Toronto Raptors,Oklahoma City Thunder
Milwaukee Bucks,San Antonio Spurs
Minnesota Timberwolves,Memphis Grizzlies
Cleveland Cavaliers,Golden State Warriors
Sacramento Kings,Los Angeles Lakers
Brooklyn Nets,Los Angeles Clippers
Utah Jazz,Washington Wizards
Boston Celtics,Detroit Pistons
Toronto Raptors,Indiana Pacers
Atlanta Hawks,Philadelphia 76ers
Charlotte Hornets,Miami Heat
Portland Trail Blazers,Dallas Mavericks
Houston Rockets,New Orleans Pelicans
Oklahoma City Thunder,New York Knicks
Minnesota Timberwolves,Cleveland Cavaliers
Memphis Grizzlies,Washington Wizards
Utah Jazz,Philadelphia 76ers
Denver Nuggets,Chicago Bulls
Golden State Warriors,Sacramento Kings
Brooklyn Nets,Los Angeles Lakers
Toronto Raptors,Detroit Pistons
Charlotte Hornets,Orlando Magic
Oklahoma City Thunder,Boston Celtics
Phoenix Suns,Miami Heat
Los Angeles Clippers,Houston Rockets
Atlanta Hawks,Milwaukee Bucks
San Antonio Spurs,Golden State Warriors
Memphis Grizzlies,New Orleans Pelicans
Los Angeles Clippers,Dallas Mavericks
New York Knicks,Utah Jazz
San Antonio Spurs,Portland Trail Blazers
Brooklyn Nets,Sacramento Kings
Indiana Pacers,Charlotte Hornets
Minnesota Timberwolves,Orlando Magic
Oklahoma City Thunder,Washington Wizards
Boston Celtics,Atlanta Hawks
Miami Heat,Toronto Raptors
Cleveland Cavaliers,Milwaukee Bucks
Chicago Bulls,New Orleans Pelicans
Houston Rockets,Dallas Mavericks
New York Knicks,Denver Nuggets
Golden State Warriors,Phoenix Suns
Brooklyn Nets,Portland Trail Blazers
San Antonio Spurs,Sacramento Kings
Detroit Pistons,Los Angeles Clippers
Miami Heat,Washington Wizards
Charlotte Hornets,Cleveland Cavaliers
Milwaukee Bucks,Philadelphia 76ers
Orlando Magic,Chicago Bulls
Indiana Pacers,Houston Rockets
Oklahoma City Thunder,Memphis Grizzlies
Denver Nuggets,Dallas Mavericks
Boston Celtics,New Orleans Pelicans
Phoenix Suns,Utah Jazz
New York Knicks,Golden State Warriors
Detroit Pistons,Los Angeles Lakers
Toronto Raptors,Atlanta Hawks
Orlando Magic,Indiana Pacers
Minnesota Timberwolves,Philadelphia 76ers
Utah Jazz,Portland Trail Blazers
San Antonio Spurs,Los Angeles Clippers
New York Knicks,Phoenix Suns
Detroit Pistons,Sacramento Kings
Charlotte Hornets,Washington Wizards
Memphis Grizzlies,Brooklyn Nets
Miami Heat,Cleveland Cavaliers
Golden State Warriors,Houston Rockets
Denver Nuggets,Dallas Mavericks
San Antonio Spurs,Los Angeles Lakers
Atlanta Hawks,Cleveland Cavaliers
Orlando Magic,Indiana Pacers
Boston Celtics,Chicago Bulls
Portland Trail Blazers,Milwaukee Bucks
Miami Heat,Minnesota Timberwolves
Golden State Warriors,New Orleans Pelicans
New York Knicks,Oklahoma City Thunder
Utah Jazz,Los Angeles Clippers
Brooklyn Nets,Philadelphia 76ers
Sacramento Kings,Memphis Grizzlies
Detroit Pistons,Denver Nuggets
Los Angeles Lakers,Phoenix Suns
Philadelphia 76ers,Charlotte Hornets
Portland Trail Blazers,Cleveland Cavaliers
Minnesota Timberwolves,Indiana Pacers
Sacramento Kings,Atlanta Hawks
Dallas Mavericks,Boston Celtics
Washington Wizards,Miami Heat
Brooklyn Nets,Toronto Raptors
Chicago Bulls,Milwaukee Bucks
Denver Nuggets,Oklahoma City Thunder
New Orleans Pelicans,San Antonio Spurs
Detroit Pistons,Utah Jazz
Los Angeles Clippers,Golden State Warriors
Minnesota Timberwolves,Charlotte Hornets
Philadelphia 76ers,Orlando Magic
Portland Trail Blazers,New York Knicks
Sacramento Kings,Boston Celtics
Atlanta Hawks,Houston Rockets
Brooklyn Nets,Indiana Pacers
New Orleans Pelicans,Memphis Grizzlies
Washington Wizards,Miami Heat
Cleveland Cavaliers,Milwaukee Bucks
Chicago Bulls,Oklahoma City Thunder
Los Angeles Lakers,San Antonio Spurs
Detroit Pistons,Phoenix Suns
Utah Jazz,Golden State Warriors
Denver Nuggets,Los Angeles Clippers
Dallas Mavericks,Toronto Raptors
Oklahoma City Thunder,Houston Rockets
Los Angeles Lakers,San Antonio Spurs
